"","Nome","IDHM","Gini","pop_menos15","pop_mais60","pop_preta","taxacresc_pop","Dens_demo","Urbanizacao","PIB_percap","Renda_percap","Despesas_percap_saude","Gastos_saude","pop_planosaude","medicos_1000h","prop_nascvivosnormal","taxainter_faltaatencaobasica","mortalidadeinfantil","espec_vida","perc_nascidosvivosBaixoPeso"
"130","Cerqueira César",0.729,0.43,0.2306,0.1324,0.2004,1.48,34.23,0.8964,35505.0190420591,997.434264622778,542.894673453,0.2217,0.0989618982432124,0.69,0.526315789473684,0.2345227,0.2128,0.7423,0.115498911353033
"328","Marinópolis",0.731,0.43,0.2006,0.14,0.305,-0.37,27.16,0.7909,24325.804914769,822.032438560504,1069.26259741,0.2025,0.0350212967345007,0.95,0.285714285714286,0.2585366,0,0.745,0.136965474339036
"497","Rosana",0.764,0.6,0.241,0.1103,0.497,-2.02,26.55,0.8053,69177.6499719634,1259.22803486498,830.227895758,0.1883,0.099944136915342,1.47,0.599173553719008,0.2618252,0.2,0.741,0.0649776049766718
"445","Poá",0.771,0.43,0.2401,0.0872,0.4565,1.03,6136.96,0.9842,39109.2977178081,984.344576110668,542.985148359,0.2001,0.28936073877732,0.36,0.481524926686217,0.1219093,0.0983,0.7633,0.0836485225505443
"344","Mogi das Cruzes",0.783,0.54,0.2379,0.1027,0.3402,1.62,543.39,0.9214,34305.6988713829,1365.25451181307,441.96991581,0.1761,0.414983792314695,2.29,0.445559714188499,0.1335688,0.1343,0.7607,0.0923349922239502
"390","Osvaldo Cruz",0.762,0.46,0.1713,0.1711,0.3137,0.42,124.43,0.8986,21120.4451440962,1096.91589731481,510.203074085,0.225,0.259792347252321,1.16,0.154882154882155,0.3978425,0.1361,0.7522,0.103018351477449
"34","Aramina",0.74,0.43,0.1956,0.1443,0.4378,0.8,25.38,0.9347,23395.436457982,1064.19167603454,926.116216967,0.2118,0.189052795031056,0.58,0.268292682926829,0.1972518,0,0.7634,0.0562911353032659
"214","Guatapará",0.743,0.53,0.2416,0.1152,0.3802,0.9,16.82,0.7344,24845.1459092778,1032.77642360547,1013.982429844,0.2933,0.25007177720356,0,0.579545454545455,0.1547421,0,0.7434,0.118194712286159
"43","Ariranha",0.733,0.4,0.2067,0.1326,0.264,1.36,64.12,0.9471,164505.893079406,1129.64011859509,992.841460142,0.2104,0.262548262548263,0.12,0.117117117117117,0.1573753,0,0.7375,0.113801555209953
"625","União Paulista",0.749,0.35,0.2242,0.144,0.3718,1.66,20.19,0.7652,42756.2654663324,920.205102401329,1687.779213128,0.2203,0.138211382113821,0,0.217391304347826,0.529136,0,0.7675,0.130974805598756
"469","Quatá",0.738,0.41,0.2253,0.1185,0.4344,0.94,19.66,0.9385,61652.7320599475,981.726638408246,811.122611441,0.2963,0.347058363934682,0.39,0.364102564102564,0.1423425,0.202,0.7384,0.0771586314152411
"153","Diadema",0.757,0.43,0.2352,0.0774,0.5006,0.79,12527.21,1,43984.4320503675,1010.52395313489,821.331196668,0.3087,0.541263801869517,0.13,0.461157289002558,0.3116841,0.1234,0.7565,0.0927343701399689
"202","Guará",0.718,0.49,0.2502,0.1096,0.5109,0.5,54.76,0.968,23669.9523781073,1002.67014002762,617.551550054,0.1949,0.380954778930406,0.86,0.322175732217573,0.23491,0.122,0.7455,0.0960292379471229
"578","Sete Barras",0.673,0.5,0.2715,0.1273,0.4585,-0.52,12.24,0.5529,23002.5944502313,704.225241951515,510.700686068,0.2365,0.0590542099192618,0.31,0.624390243902439,0.03764937,0.098,0.7489,0.0548933125972006
"550","São João das Duas Pontes",0.72,0.36,0.2045,0.157,0.2249,-0.36,19.85,0.7643,21813.7542885904,784.072341875386,784.161089453,0.178,0.0572876071706937,0.39,0.347826086956522,0.1290323,0,0.7334,0.0424127527216174
"500","Rubinéia",0.759,0.39,0.1832,0.1923,0.2945,0.92,11.77,0.8227,15735.4093647345,980.417669557035,1299.913291106,0.2146,0.0649895178197065,0.35,0.153846153846154,0.2208318,0,0.7564,0.138463141524106
"514","Santa Bárbara d'Oeste",0.781,0.41,0.195,0.1077,0.2786,0.58,664.17,0.9922,31751.3059928719,1261.8459725674,472.776621303,0.2029,0.405396396846824,0.64,0.303674192120407,0.05911928,0.1073,0.7704,0.0924348367029549
"132","Cesário Lange",0.706,0.43,0.2189,0.1186,0.2378,1.89,81.33,0.6752,23295.2505874348,997.434264622778,462.040265791,0.2157,0.140990990990991,0.19,0.421875,0.235463,0.1923,0.7323,0.0631804043545879
